Word,Sim
reserves,0.17515060228780935
extra,0.17254280734536678
grade,0.17180638246710786
minimum,0.16839487011404689
sized,0.16767824621669974
discovery,0.1655207468858379
medium,0.1618570649005813
resource,0.16154826578145215
discoveries,0.16094114250266597
feedstock,0.16088303864279735
strategic,0.16027827245538695
truly,0.15923702962361147
volumes,0.1589898975389765
coveted,0.1576122133334213
refine,0.1529686541668751
blend,0.1518671166016332
quota,0.15105390385454984
gross,0.14910007795316546
upstream,0.1490604625923204
portfolio,0.14835797900917597
argentina,0.14828610278611895
repayment,0.14697153513437752
explore,0.1469095622781249
successful,0.1453438767702763
investments,0.14494511835831297
valuation,0.14483399326061053
withhold,0.1448127555585862
volume,0.1445574196377356
surplus,0.14328721679613868
ultra,0.14303559781142725
master,0.1430125304370478
heavy,0.143007230160533
similarly,0.1428601879658367
reservoir,0.1427377663624951
extract,0.14267553717135908
discounted,0.14236995116524873
replenish,0.14179186124891058
goldman,0.14137472327747294
delivery,0.14088740227880575
quantities,0.1400715569870084
unlock,0.1388135224774318
compares,0.13875478860354812
ratio,0.138052034100346
lighter,0.13737392039647764
murban,0.13713086956656695
ink,0.136718958798098
hoping,0.136700960562547
seller,0.13641724805140526
guyana,0.13630895279861682
strategy,0.13630757703120897
offtake,0.13587741757236574
debt,0.13478835724695015
value,0.1344940432807041
deepest,0.13433967889123705
auction,0.13417041333368243
excess,0.13372512779570472
valued,0.13347936792969195
buyers,0.13314077233226657
opportunity,0.13299615794041317
condensate,0.1325777776743294
commodities,0.13256366352688173
sizeable,0.13242983399448202
exporter,0.1322327884370312
untapped,0.13215537855594417
recoverable,0.13190402103679325
shipment,0.1314243510436275
crude,0.13134919561303054
averages,0.13129027514931724
sellers,0.13126898763065403
condensates,0.13126889512878756
optimize,0.13075449880063672
motivation,0.13056783908437425
gdp,0.1303504442905763
chunk,0.12892187373434513
extracted,0.1287840498740139
cnooc,0.12771552490811167
chances,0.12752502756072467
refined,0.12746965653089393
million,0.12707691502156013
spr,0.1268775814131399
much,0.12663935172775515
650,0.12652733987173329
dwindling,0.12622422183437032
typical,0.1261469358817482
metric,0.12614305796095324
production,0.12597995071320228
maximize,0.12574926310730158
light,0.12528401639765457
export,0.12504687377524237
fetched,0.12492638103730418
grades,0.12440850738351766
contracts,0.12440488239106326
tons,0.12435991204571632
fit,0.12432544830196982
commitment,0.1239336397210529
equivalent,0.123778853939212
strengths,0.12369340707423783
expectations,0.12368319541940247
boed,0.12327109284535745
exploration,0.12322847929935414
grow,0.12317946109788426
contract,0.1226358908042316
characteristics,0.12259509856437141
450,0.12247754809738125
analyst,0.12236736013090278
record,0.122338993841072
estimated,0.1222529783744874
structure,0.12217282315613391
diluents,0.12194298591730834
8,0.1216768376793548
producers,0.12131828088439693
liquefied,0.12121119210880044
weakest,0.12116136567653724
wisting,0.1211247712285544
incentive,0.11990857853947831
produce,0.11980519543346761
barrels,0.11978729309110552
exceeding,0.11963860310799572
tender,0.11928502235048237
abundance,0.11910963464927388
trillion,0.1190942943928099
predictions,0.11885001182741871
cargoes,0.11883902011163666
quotas,0.11882125982062121
load,0.11706507050334664
adjustment,0.11682839449022803
actual,0.11678505141892533
strives,0.1165951542225259
oversupply,0.11625381251637772
tellurian,0.11615095096653687
investment,0.1160894313032463
boe,0.11598963657908604
staatsolie,0.11581744205716327
deeply,0.11579622684161744
product,0.1157697458106853
metals,0.11571559108083672
floating,0.11568887223635672
consensus,0.11528122805722439
vlccs,0.11491173067095563
dividends,0.11487363705559776
lock,0.11468263031428433
beat,0.1146731504340855
producer,0.11438947206068137
spare,0.11436858276575927
ambition,0.11426011786507402
methodology,0.11419110580064162
80,0.11414749636552822
hydrocarbon,0.11405002459053422
estimate,0.11400262092615251
glut,0.11370572377666449
supplier,0.1136487729291144
ever,0.11350172705646887
flagship,0.11338876627845058
liquid,0.11320367199208854
sachs,0.11304592817796469
average,0.11303496119487716
bpd,0.11293900109923931
importer,0.11286025559913711
june,0.1126752125525857
pivot,0.11265133817589054
absorb,0.11176658522782976
momentum,0.1117397581585386
unconventional,0.11156614527910805
drill,0.11156278541549826
total,0.11152527812425961
projection,0.11149790151141223
asset,0.11128005930052233
competitive,0.11119712947856256
marketplace,0.1110807235993776
net,0.11094717543962097
historic,0.11058416663242288
capex,0.11049400661984544
looking,0.11037539960180533
superlight,0.11033698819133157
reservoirs,0.11027987934900178
expects,0.1100861653415934
term,0.11007318393438961
partners,0.11005667890950073
17,0.10987410404975742
exports,0.10984399509272308
renegotiation,0.10980912814677227
oil,0.10973549285019538
bargain,0.1097107924160167
probable,0.10969855580486806
urals,0.10956355276134402
ceiling,0.10950026908796709
sum,0.10928841720174738
inventory,0.10913754915458766
aggregate,0.1091068868781097
ranges,0.10886581459297325
accelerate,0.1087225085743724
permian,0.10868823097600554
meters,0.10862949541195455
compensate,0.10848832050636309
interest,0.1082890184711788
build,0.10811551755726892
conventional,0.10779113859413882
eni,0.10773183046059717
covering,0.10742747806311391
draw,0.10740580399399878
deals,0.10732199949103371
sure,0.10728007991187476
pump,0.10724279828415012
goal,0.10719075040659268
tremendous,0.10717392418908595
bbl,0.10701064855720639
option,0.1069466525036159
growth,0.10679901561423685
available,0.10677985814726255
cap,0.10674302469218924
beneficial,0.10670998202855735
finding,0.10670292647107925
loan,0.10663247728346864
cartel,0.1064049970429061
refineries,0.10633465687871285
managing,0.10629413508837039
output,0.1061834258480944
crudes,0.10614624672139233
opec,0.10610047477220337
stocks,0.10595945358195796
fewer,0.10586234129159172
exploring,0.10545104442985954
play,0.10539398201896631
terms,0.10538582123272214
undisclosed,0.10518837667389948
core,0.10488265659691205
customers,0.1048123507630472
holdings,0.1047011235898515
amounts,0.10465565001958106
variety,0.10462753208668571
deliveries,0.10454460490036949
acres,0.10450470146446403
base,0.10425595351692199
significantly,0.10388556048882956
brimming,0.1038329092674055
espo,0.10382941830507147
adjust,0.1037452297635535
player,0.10367595590789075
level,0.10365459214428263
purchase,0.10364597883687242
domestic,0.10363113179094313
osp,0.10340178485566483
sanitizer,0.10335903346846324
braskem,0.10333275985045877
analysts,0.10333169535931522
attractive,0.1032685417369467
predicted,0.10323987619048468
respective,0.10298807650750294
134,0.10294002634285278
future,0.10290960062745434
swap,0.1027784233248392
clients,0.10277078419664763
carriers,0.10273494653589198
apache,0.10272360582600593
overdue,0.10262803085853786
bleak,0.10259354129750907
important,0.10258013190568648
