Word,Sim
profitably,0.22154503869922304
accelerate,0.20861529494941736
portfolio,0.20810339720043103
enhancing,0.2071345601605372
society,0.2061193111578274
executing,0.20570959175816714
reshape,0.2001981412679989
financially,0.19933341666970728
fortescue,0.19893839518500328
progressing,0.1987035939631539
enables,0.19856898982360682
broader,0.19821438751968812
recycling,0.1972257804415246
reinforce,0.1969496470636155
sustainable,0.19564066035495536
cement,0.19486446846460098
capture,0.19451218452161873
integration,0.19394710358761408
optimize,0.1925299120589602
ccs,0.1918650090574647
enable,0.19171637742556327
nickel,0.1907887990250012
upstream,0.19037024816165427
integrated,0.18965357759168072
underlying,0.18907279116068268
maximize,0.1878139989509549
towards,0.1874920801633857
structure,0.18522877445436867
our,0.18265092779597356
bhge,0.18183671998964815
consistently,0.1814467830610203
grow,0.1811602910293934
innovative,0.1810646831699244
healthy,0.18065225215868813
enhance,0.18022171497355366
strategies,0.17922824975203588
centrica,0.1787587787664112
83,0.17873889172591653
solid,0.1770632797138224
enhanced,0.1755145863955626
pursuing,0.17462469979718181
significantly,0.17237590596095337
sheets,0.16986900583917194
efficiencies,0.16970621516439383
battery,0.16929668062263897
nascent,0.16929028586482214
chemicals,0.1691209363465071
deliver,0.16880778472345004
core,0.16846474032263786
performance,0.16775670940711243
marketplace,0.16714233138351325
allocation,0.16653323687888985
metal,0.16586958118354658
suvs,0.16568346562364547
footprint,0.1655941965700203
y,0.16481688141624193
expand,0.16478088036560087
dampens,0.16421451179310775
weakest,0.16419916047457073
decarbonization,0.16418015454664375
future,0.16391300258161096
ion,0.16364039629454902
compete,0.16278170397107078
lofty,0.16217211153711422
downstream,0.16158812380881815
greatly,0.161555597614843
carbon,0.1610190101298667
bp,0.16070459898805742
electric,0.16055376451673506
metals,0.16054814991598904
whilst,0.16019553670460301
strategy,0.1601638858659177
anticipate,0.15996422254988354
cloud,0.15848170441623885
ambitious,0.1581029557814699
net,0.15789121435448156
opportunity,0.1577173225230244
align,0.1576157874508654
claudio,0.1574205878407228
efficiency,0.15676031584070668
adjusting,0.1558921508455013
returns,0.15547837278723964
flexible,0.1547930972729333
enabling,0.1544951749484238
advance,0.1544837178026958
fits,0.15432280864535336
capex,0.15427411089651577
fit,0.15411148235907723
beneficial,0.1538771080702712
gives,0.15379353368520668
lineup,0.15369689223353464
truly,0.15368529882916185
cleaner,0.1535462508781746
variants,0.15341069893741976
equitable,0.15313201504231144
technologies,0.15289705734936163
expertise,0.15286875823091858
install,0.15258404242991871
smart,0.15258274271553993
hydrogen,0.15252463957221513
compatible,0.15182179771148768
achieving,0.15143801109955457
contribution,0.1513971120668725
digitalization,0.15092966342851624
packs,0.1506884857194809
strategic,0.1504808370633906
lock,0.150398546196811
