words,polarity
attack,0.19911159911062828
attacks,0.2039068154192939
strikes,0.20729232382914548
sabotage,0.20859062047006977
explosion,0.2099203527260414
explosive,0.21295381148719736
fire,0.2131803028151939
saboteurs,0.21448113401014826
explosions,0.21606938889700752
strike,0.21851471816462478
airstrikes,0.22191110562169017
bomb,0.22586295532527845
attackers,0.2276858117631561
conflict,0.2288000665232753
ceasefire,0.2289219950154092
cyberattacks,0.23076612383005557
unrest,0.23457616542669465
attacking,0.23482007915161834
cyberattack,0.23727093353447565
dispute,0.2384619084757522
closure,0.2397074078616594
fires,0.23978033689750775
problems,0.2412087592744684
outages,0.24151452719248978
withdrawing,0.24433170096658754
storm,0.24664468665427333
disrupting,0.24667293091848413
disputes,0.2468489892458517
hurricane,0.24803438916279677
withdrawal,0.24895485114725177
sabotages,0.24899812914963737
storms,0.24973722724958744
concerted,0.25010294572750025
delayed,0.25189727933297895
disrupt,0.25250278551233324
withdrew,0.2527890310881502
disrupted,0.25596495158814075
concerned,0.25626951333413683
wildfire,0.2562913909815258
concern,0.2570469512156908
withdraw,0.257266189056871
wildfires,0.25820012578042373
delays,0.25886684903360246
fired,0.2589074726907082
conflicting,0.2595830959979405
recovered,0.26054370516287834
withdrawn,0.26108585431540193
hurricanes,0.26260563548020815
delaying,0.26710396913609213
recover,0.2682355140705791
disruption,0.2691813767058152
instability,0.27090577251870135
closures,0.27135848158717607
turmoil,0.27209969144820917
problematic,0.2738920147426531
concerns,0.2739231168210288
shortages,0.275049191774978
problem,0.27877133712802077
concerning,0.2800192303619448
recovering,0.28023900601383667
outage,0.2837175820758104
disputed,0.2846352233990634
attacked,0.28488141640968895
recovers,0.2904219591382334
missile,0.30040117107020137
recovery,0.3009259757493967
incident,0.3021032012558503
casualties,0.3067114180673256
blast,0.30700378926241945
rocket,0.3070976701322964
missiles,0.30884986475196435
rocked,0.31126478670123436
drone,0.3113362772662527
delay,0.3143665139796918
drones,0.3162200456552155
ballistic,0.3168875956913552
militias,0.32382445132309445
injured,0.32575338269616777
injuries,0.32640060267309984
terrorist,0.32679812495009897
reopening,0.327647921608068
shutdown,0.32772456120059196
jeddah,0.3304052019367151
unidentified,0.3308762552000434
floods,0.3311250018431849
detected,0.3324684771552896
hostilities,0.33377160627183544
pirates,0.33468326056945363
leak,0.33508979949400036
inspection,0.3352209092871268
convoy,0.3353871810156681
spill,0.33567565707586433
cyber,0.3357600858468303
militants,0.33744634179781036
retaliation,0.338091520352454
gathered,0.33862137279970633
destroyed,0.3391856529857373
troops,0.34012831949522276
civilians,0.3408410264953367
violence,0.3413278059238254
warring,0.3423085640198096
blackout,0.34257993059470604
rockets,0.34260520322605387
yemen,0.3429960277389823
rebels,0.34345605985111943
coup,0.3436902147501443
houthis,0.3438815633638441
offensive,0.3440123938013794
disruptions,0.34448252598621026
coincided,0.3447116155059319
valve,0.3453283581951222
limpet,0.3454153141862776
bases,0.3457354115871451
village,0.3465734810663209
threats,0.34782069383392905
armed,0.34927262200034737
cruise,0.35109856475942175
occurred,0.3512533681688668
laden,0.35166581643245237
flames,0.35169578692450565
error,0.3519565992794024
yemeni,0.3520087755981801
fighting,0.35202424476629807
accidents,0.35221790484528503
movement,0.35230515168068494
breaches,0.3526985656099261
exercises,0.35278127243427826
pirate,0.3534314767549024
houthi,0.3535331633405619
warship,0.3535890944502047
militia,0.3544802322487837
collision,0.3547912335529941
occupation,0.3551373106552286
confrontation,0.35577462174725333
forces,0.3563575946573636
erupted,0.357421820231607
doors,0.35745117018453365
danger,0.35755001047311746
frequent,0.35757974370252726
escalating,0.3578170723084267
damaged,0.3585677954572365
hostility,0.3586763392278722
escalated,0.3593333572886781
kurdish,0.35936216560408174
shortage,0.36003329934565437
escalation,0.36006894002945977
isis,0.3604023100090012
clashes,0.36112664693555124
intercepted,0.3612011094466908
blaze,0.36136850379306046
tension,0.3617626614928471
dead,0.3627256294380366
jizan,0.3627750863313524
outcry,0.36283519182886137
incidents,0.36351453201149536
seizures,0.3642295100419974
gna,0.36423254580401837
tribesmen,0.36440303477556923
renewed,0.3645895523420664
lna,0.3646254999209222
earthquake,0.36475762290235647
protests,0.3647806501102391
abqaiq,0.36480625527836924
